Mês, LOC, Classe, Métodos, Classe Deus, Método Deus
1,2152,9,141,1,9
2,2152,9,141,1,9
3,2152,9,141,1,9
4,2414,9,154,1,11
5,2383,9,150,1,11
6,2383,9,150,1,11
7,2538,9,162,2,13
8,2375,9,151,1,13
9,2384,9,152,1,14
10,2384,9,152,1,14
11,2096,7,131,0,13
12,2096,7,131,0,13
13,2093,7,131,0,13
14,2093,7,131,0,13
15,2129,7,135,0,14
16,2129,7,135,0,14
17,2192,7,135,0,16
18,2192,7,135,0,16
19,1949,7,120,0,15
20,1949,7,120,0,15
21,1949,7,120,0,15
22,1949,7,120,0,15
23,1949,7,120,0,15
24,1861,6,119,0,14
25,1867,6,120,0,14
26,1867,6,120,0,14
27,1867,6,120,0,14
